"C1DFBTQC","东风本田汽车有限公司",yes,"武汉市沌口经济开发区车城路88号","","",93800,98579
"C1DFRCQC","东风日产汽车有限公司",yes,"广州市花都区风神大道8号","","",93800,98579
"C1DFVJVA","东风安通林（武汉）汽车饰件有限公司",yes,"武汉经济技术开发区军山街凤亭南路1号","7号厂房","",93800,98579
"C1GQSLQC","广汽三菱汽车有限公司",yes,"长沙市经济开发区漓湘中路15号","","",93800,98579
"C1H2DFQC","东风汽车集团股份有限公司乘用车公司",yes,"武汉经济技术开发区p山湖大道888号","","",93800,98579
"C1H2DFYL","东风裕隆汽车有限公司",yes,"浙江省杭州市萧山区临江工业园区新世纪","大道2688号","",93800,98579
"C1H2DPCA","神龙汽车有限公司",yes,"武汉经济技术开发区神龙大道165号","","",93800,98579
"C1H2DRAC","东风雷诺汽车有限公司",yes,"武汉经济技术开发区黄金口产业园","","",93800,98579
"C1H2WHRF","武汉恒瑞丰",yes,"武汉经济技术开发区华中电子商务产业园","C7栋","",93800,98579
"C1HBFAUF","Faurecia Interieur Industrie",yes,"","","",96480,98579
"C1HBPSAC","标致雪铁龙（上海）管理有限公司",yes,"上海市徐汇区古美路1528号2幢2-3层","","",93800,98579
"C1WHZXSL","武汉中新塑料有限公司",yes,"武汉沌口经济技术开发珠山湖大道创业路","111号","",93800,98579
"C2DFBTQC","东风本田汽车有限公司",yes,"武汉市沌口经济开发区车城路88号","","",93800,98579
"C2DFRCQC","东风日产汽车有限公司",yes,"广州市花都区风神大道8号","","",93800,98579
"C2DFVJVA","东风安通林（武汉）汽车饰件有限公司",yes,"武汉经济技术开发区军山街凤亭南路1号","7号厂房","",93800,98579
"C2H2DFBJ","东风汽车集团股份有限公司乘用车公司",yes,"武汉经济技术开发区p山湖大道888号","","",93800,98579
"C2H2DPBJ","神龙汽车有限公司",yes,"武汉经济技术开发区神龙大道165号","","",93800,98579
"C2H2DRBJ","东风雷诺汽车有限公司",yes,"武汉经济技术开发区黄金口产业园","","",93800,98579
"C2H2YLBJ","东风裕隆汽车有限公司",yes,"浙江省杭州市萧山区临江工业园区新世纪","大道2688号","",93800,98579
"C2RCTSMY","广州日产通商贸易有限公司",yes,"广州市天河区林和西路9号耀中广场A座4","301-05、19-21室","",93800,98579
"M1DFV-DL","大连合资公司",yes,"辽宁大连保税区泰华大厦A座530-15","","",93800,98579
"M1DFV-HZ","杭州合资公司",yes,"","","",93800,98579
"M1DFV-XY","襄阳合资公司",yes,"湖北襄阳高新区天籁大道15号","","",93800,98579
"M1DFV-YC","盐城子公司",yes,"盐城经济技术开发区东环路69号","","",93800,98579
"M1DFV-ZZ","郑州子公司",yes,"郑州经济技术开发区中信广场四楼东区","","",93800,98579
"M1DFVJVA","安通林内饰公司",yes,"武汉经济技术开发区军山街风亭南路1号","7号厂房","",93800,98579
"M1DFVJVB","安通林顶饰公司",yes,"武汉经济技术开发区军山街风亭南路1号","7号厂房","",93800,98579
"M2DFV-DL","大连合资公司",yes,"辽宁大连保税区泰华大厦A座530-15","","",93800,98579
"M2DFV-HZ","杭州合资公司",yes,"","","",93800,98579
"M2DFV-XY","襄阳合资公司",yes,"湖北襄阳高新区天籁大道15号","","",93800,98579
"M2DFV-YC","盐城子公司",yes,"盐城经济技术开发区东环路69号","","",93800,98579
"M2DFV-ZZ","郑州子公司",yes,"郑州经济技术开发区中信广场四楼东区","","",93800,98579
"M2DFVJVA","安通林内饰公司",yes,"武汉经济技术开发区军山街风亭南路1号","7号厂房","",93800,98579
"M2DFVJVB","安通林顶饰公司",yes,"武汉经济技术开发区军山街风亭南路1号","7号厂房","",93800,98579
"OR000001","其他杂项",yes,"","","",93800,98582
"OR000002","延锋伟世通汽车饰件系统",yes,"","","",93800,98582
"OR000003","神龙汽车公司",yes,"","","",93800,98582
"OR000004","华兴餐饮",yes,"","","",93800,98582
"WHA001","东风伟世通汽车饰件系统有限公司",yes,"武汉","","",93800,98581
"WHA002","东风伟世通汽车饰件系统有限公司",yes,"武汉","","",93800,98581
"WHA003","东风伟世通汽车饰件系统有限公司",yes,"武汉","","",93800,98581
"C1H2DFBJ","东风汽车集团股份有限公司",yes,"","","",93800,98579
"c1h2faur","佛吉亚（长春）汽车部件系统",yes,"","","",93800,98579
"C1H2NBFC","宁波富诚汽车饰件有限公司",yes,"","","",93800,98579
"C1HB-BSR","武汉博思瑞工贸有限公司",yes,"","","",93800,98579
"C1HBFAUA","Faurecia Argentina S.A",yes,"","","",96480,98579
"C1HBFAUR","Faurecia Automotive Develop",yes,"","","",96480,98579
"C1HBLTYG","十堰市隆泰源工贸有限公司",yes,"","","",93800,98579
"C1HBPSAF","PEUGEOT CITROEN AUTOMOBILES",yes,"","","",96480,98579
"C1HBVISA","UISTEON S.A",yes,"","","",96480,98579
"C1HBWHYM","武汉伊曼汽车零部件有限公司",yes,"","","",93800,98579
"c1hdchqc","浙江长华汽车零部件有限公司",yes,"","","",93800,98579
"C1CNQITA","其他杂项客户",yes,"","","",93800,98579
